Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified
CI,186.67457580566406,53.58271980125623,2116938.888888889,-0.4138952429723647,7.118478299890289,32.58942065943056,1.1863747103176372,15.537999999999998,4.0,0.81021,9.5,74098032640,Healthcare,True
CL,75.31929779052734,31.85350584221915,4134142.8571428573,27.340538794665765,16.949152341588984,49.82465808703403,1.3819509976103166,293.635,20.23,6.80048,1.9,68108763136,Consumer Defensive,True
CLX,171.6754913330078,32.365063247664686,1721953.9682539683,34.68873329196435,-8.596681203067746,52.24369497428667,-1.887302534388128,,,,,0,Unknown,False
CMCSA,41.25598907470703,38.28150179985367,22709164.682539683,15.40241473060577,31.12965394655638,49.51641886186248,5.590681969037053,24.186,17.735,1.01462,-2.7,111850250240,Communication Services,True
CMG,27.483400344848633,49.84638654098832,24013293.65079365,60.12422358867997,30.074308873851844,64.81127381958134,4.476755233483348,44.958,16.134001,1.5457400000000001,7.5,54225387520,Consumer Cyclical,True
CMI,199.2608642578125,43.78311813430019,1230473.0158730159,29.031505845800808,31.28410154392096,51.3870402718403,-0.16683186598559033,22.767,12.132,0.62949,-1.6,79464022016,Industrials,False
CMS,51.39421463012695,38.81580384136053,2031563.492063492,-0.31699832096842084,0.6437074922039081,50.834633406389344,-3.547978464836278,11.233,26.174998,1.9167599999999998,16.0,21635614720,Utilities,True
CNC,58.91999816894531,53.69260876714883,4433442.857142857,-4.783456444856327,-11.425133580359653,31.86548444663532,-7.227795509945205,-21.86,0.54699997,0.8351000000000001,21.5,23204564992,Healthcare,True
CNP,18.82343101501465,58.76766775550616,7018612.301587301,-17.85086028568282,11.55861493627902,39.313990212949946,-4.805492238947429,9.606,24.95,2.0211099999999997,7.1,25641402368,Utilities,True
COF,89.47676849365234,72.5720459981967,3831630.9523809524,-4.263979330375951,60.521620373500674,57.28343634984349,13.066285601723077,1.6150000000000002,38.719,,67.9,151530438656,Financial Services,True
