Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified
DECK,47.66666793823242,58.3421370030722,2618459.523809524,66.11489264741189,47.27084946034805,39.13967974201342,5.784178160936464,43.312,22.82,0.1422,9.1,15294199808,Consumer Cyclical,True
DHI,66.71874237060547,59.499920989913534,4070794.0476190476,34.996371907254506,30.386621628774353,51.10639452011738,-2.2762846480135384,14.321,12.4680005,0.24514,-3.2,47007141888,Consumer Cyclical,True
DHR,191.3907470703125,33.63763774269908,3172699.634920635,42.86397357349121,23.02737374818286,45.375262944434716,-2.840218511457638,6.843000000000001,20.75,0.35544,4.3999999999999995,171780767744,Healthcare,True
DIS,177.001708984375,49.15190260806922,14657105.952380951,22.24697844045099,61.49938463080633,76.4543189671636,22.661791273890724,12.203,11.867999999999999,0.39632,-0.5,203966595072,Communication Services,True
DLR,116.36262512207031,43.51798927086479,2296255.5555555555,21.130820392069158,-5.355950201157395,79.02935798813841,-0.5282053164649789,5.825,13.333,0.7924800000000001,11.1,56131076096,Real Estate,True
DOV,116.68138122558594,46.357508343097464,908136.1111111111,8.405711138114295,28.808452527721716,55.06379336848097,3.5931136928892453,15.883,18.69,0.40076,4.8,28226131968,Industrials,False
DOW,42.25742721557617,62.13559579040785,5471063.492063492,9.789096503924547,37.12817818653614,55.3360805099562,6.579378148480965,-5.287,1.905,1.02943,-8.3,19855286272,Basic Materials,True
DRI,99.64261627197266,82.91227579070528,2657078.9682539683,5.840913461534565,57.66064317265385,57.99603172795654,8.440572177133017,54.104,10.392999999999999,4.01269,7.3,24930691072,Consumer Cyclical,True
DTE,86.38301849365234,47.718647437868775,1543823.4285714286,-3.3850077228712445,10.735415162144166,33.434802437912026,-3.9625338631797278,11.658,18.968001,2.0797499999999998,21.4,27952054272,Utilities,False
DUK,74.44337463378906,41.48997480855075,3714948.8095238097,4.62512832269187,13.057156685115496,45.86237751936048,-1.9017538078039655,9.905,27.125,1.7034399999999998,4.8,92471705600,Utilities,True
DVN,12.45552921295166,96.84462666216994,9977562.301587302,-33.52615168813824,49.530425081823125,54.340837354420806,24.268893415951005,18.586999000000002,24.194999,0.56274,7.1,23057713152,Energy,True
DXCM,90.69249725341797,55.42273744599417,4955322.222222222,65.36146455437215,-10.943909763564626,72.49616660645711,4.403615587112212,30.635,20.053,0.94479,21.6,27152830464,Healthcare,True
EA,138.29840087890625,36.48927056438156,2959463.095238095,32.5128528427722,6.275633718161072,71.18315188131842,10.677859350284479,13.200999999999999,10.875,0.3665,-9.2,51059163136,Communication Services,True
ECL,203.79086303710938,48.71427567794202,2014084.9206349207,14.21609936488449,7.61924799374831,33.27869451921289,2.2284508050900063,21.869,14.715,1.03915,17.8,78745616384,Basic Materials,True
ED,59.36248016357422,41.189082600662665,2317893.6507936507,-16.951173654700227,-1.8728910010643485,30.22097579655403,-7.2317823223029905,8.839,25.342,1.10373,10.7,37016473600,Utilities,True
EIX,48.71299362182617,45.33072858816775,2402655.9523809524,-13.216829296238993,13.557226539295803,45.29521299196575,1.2656051795739216,15.765001000000002,32.557,2.0402,10.6,23678836736,Utilities,True
EL,244.4339141845703,41.01810461581385,1638561.507936508,28.207492067475954,37.659911750721356,70.58527186332597,7.38794205748098,-20.727,7.268000400000001,2.42211,3.5999999999999996,41686474752,Consumer Defensive,False
EMN,84.1939926147461,51.45546979838444,1193448.8095238095,32.75005617726127,45.45487257462628,38.329043423494824,6.090080065808663,12.116,9.673,0.89235,-10.6,8063532544,Basic Materials,False
EMR,71.94348907470703,53.963457832393935,3494837.698412698,6.166924246700838,31.265922720684912,41.523841463218005,5.602134794838721,9.363000000000001,20.721,0.67785,5.1,83226329088,Industrials,True
EOG,39.72370529174805,74.92731028302136,5505530.158730159,-38.067482590099345,1.891902126217676,41.57303524028552,12.252787129891104,18.476999,33.223,0.26835000000000003,-2.4,58997317632,Energy,True
EQIX,636.111572265625,40.66346640616243,493788.8888888889,22.738045789706803,-1.8240181226193242,62.323473630873636,-3.7023050577928616,7.7,21.851999,1.47969,6.6000000000000005,78727561216,Real Estate,False
EQR,48.26151657104492,50.953473724344654,2712636.111111111,-23.71326435721738,-1.531647444474375,40.86951075744179,3.280231821936255,10.444,28.955,0.76237,4.6,24070244352,Real Estate,True
