Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified,Composite_Score
FE,24.489824295043945,53.076375824869885,6209334.523809524,-33.799512106239035,-22.503770478702922,44.373555486735626,1.6113575324488503,11.192001,20.636,1.93669,11.200000000000001,26913437696,Utilities,True,33.86138523096356
FITB,22.662879943847656,73.77315747015922,6857104.365079365,-7.264716884780007,50.27517008893418,48.1386124055503,6.768341140907422,11.5109995,39.780998000000004,,6.7,32404658176,Financial Services,True,77.15648409164459
FOXA,27.25894546508789,49.15376344577529,4782390.476190476,-20.302754484286055,10.437321046462216,48.38010813054094,4.254389014216635,17.272000000000002,26.323998,0.60136,4.9,32208046080,Communication Services,True,51.98171428804819
FTNT,29.604000091552734,55.01543339353866,8036599.206349206,34.956231671898486,6.919966719218411,85.52631657571106,17.192138982633658,228.043,31.648,1.48116,14.399999999999999,58481426432,Technology,True,56.864304709800024
GE,52.1810188293457,63.09419872084868,19695763.726190478,-9.770756443447214,57.442423751337735,33.501126380771495,12.18192639267484,42.131,20.598,1.15246,23.799999999999997,339192119296,Industrials,True,75.66637564183763
GILD,46.7547492980957,37.52978453537515,13716300.793650793,-9.6263975620133,-24.17621711582282,16.07324544215828,-4.233971692626239,40.706003,45.231,1.1624299999999999,3.0,150460252160,Healthcare,True,31.00833966990504
GIS,48.58345413208008,30.868181453532685,3976517.8571428573,16.236126191681997,-3.2005944837417637,41.96241730309208,-2.5704997873036364,27.173000000000002,17.874001,1.4723,-7.199999999999999,24336678912,Consumer Defensive,True,29.14309080698915
GM,40.36856460571289,61.2334046765576,15400251.984126983,13.296937997563486,65.7686078306194,33.99253335627053,2.9020926972895023,4.442,5.6739997,1.9543700000000002,-0.3,77032620032,Consumer Cyclical,True,70.64535330943613
GOOG,86.32852172851562,38.40932994299184,37903428.571428575,27.216494265828768,18.7628908395494,38.55034722222223,0.538248916505253,35.449999999999996,30.512,0.11424,15.9,4021852045312,Communication Services,True,53.13605780381241
GOOGL,86.16148376464844,38.5514937909135,40028047.61904762,26.8558154633831,18.117867707998208,39.476948127941796,0.653954563430584,35.449999999999996,30.512,0.11424,15.9,4030671880192,Communication Services,True,52.85335211545489
HAL,17.472923278808594,93.35823926969093,19246465.476190478,-20.988961467123957,52.93533242799283,46.38219010142987,17.400260257523577,12.788,12.857,0.83613,-1.7000000000000002,27961083904,Energy,True,82.64030699551346
HCA,155.4754638671875,60.98717412207632,2228431.3492063493,10.68992451014154,66.07667561086424,56.40673247915824,8.64309597496429,,15.473999999999998,,9.6,113152237568,Healthcare,True,70.57640875418137
HIG,43.225154876708984,65.2114354119356,2782725.0,-18.984807598109924,29.769074752944114,52.850559681668216,8.50507297219832,20.069,18.916,0.23696,7.000000000000001,36477366272,Financial Services,True,76.14373929181403
HLT,108.81573486328125,51.55310200573997,3629324.206349206,-0.9878104740093537,47.852971117105206,60.394309312642164,8.752310673673966,,60.327,,3.5000000000000004,70943850496,Consumer Cyclical,True,67.93486856160719
HON,179.54458618164062,45.40425211681703,3695743.476190476,19.40425702050779,46.97106165070111,47.34677833882623,6.7004610997962954,34.616002,18.505,2.15247,7.000000000000001,144895459328,Industrials,True,69.19872141805932
HRL,39.56544494628906,30.242704961656607,2224358.73015873,6.900526595049521,-2.479651065213342,42.58826727181357,-4.519875233474839,6.002,7.222,0.3822,1.5,13606903808,Consumer Defensive,True,24.46795738926385
INTC,44.07123565673828,53.516422195203425,31591649.603174604,-17.879389358122037,-16.390870640729936,43.95606433850167,2.302021779832753,0.18600001,6.283999999999999,0.39881,2.8000000000000003,230414843904,Technology,True,30.98459821465696
INVH,25.32144546508789,49.19305251171817,3940357.1428571427,2.314886710316049,5.677326554435955,53.728107081098614,2.9827913683126486,6.0,27.131,0.8569100000000001,6.5,16591403008,Real Estate,True,56.61271798049906
IR,45.01025390625,51.389093802329946,3374148.015873016,22.668132688871303,58.959972807844665,51.753130263262626,6.503205045515828,5.382,20.476,0.47619999999999996,5.1,34709528576,Industrials,True,69.38894626465239
ISRG,271.76666259765625,45.72417362631993,2171648.8095238097,36.50670971808515,40.45272770702809,85.58100326281044,9.08797892672962,16.902,30.325999999999997,,22.900000000000002,194057682944,Healthcare,True,70.80276861536959
JNJ,135.38723754882812,30.378507219724295,8054418.650793651,9.811868138450704,12.208401929641877,57.622726570382014,6.308435121903059,33.619,30.200001999999998,0.57766,6.800000000000001,529033035776,Healthcare,True,57.610182986343744
JPM,109.60598754882812,54.534808087465116,19272229.365079366,-7.922328342310083,36.545710806759026,61.64228962247874,9.476863617399694,16.134001,41.854,,2.5,842104569856,Financial Services,True,73.26974626449024
K,48.36507034301758,31.700373219143174,2331768.242063492,-5.539169212532926,-5.498227152554324,45.73505423773001,-2.674547009611784,32.112,15.031,1.45099,0.8,29031499776,Consumer Defensive,True,29.37610450136009
KEY,12.777676582336426,76.16557188568862,10986365.873015873,-15.418506012584231,42.423707384337305,53.28947709636018,9.093995273279255,5.8179997,33.839000000000006,,202.59999999999997,23191752704,Financial Services,True,76.32636012799281
KHC,27.481361389160156,43.289153203162165,7177860.317460317,15.686486418780458,11.558764531893532,58.12270448140825,6.655731950901325,-9.693,17.637,0.50968,-2.3,28704829440,Consumer Defensive,True,56.400345162832174
KMI,10.142118453979492,56.000524113574876,16108969.841269841,-30.84493099860341,-6.533877308236498,28.512418918220632,0.3813447945435692,8.884,25.639,1.02138,12.1,60969558016,Energy,True,33.18014675180096
KO,46.837337493896484,34.747316014223465,17034414.682539683,2.3876472307546694,23.241936032696618,60.25884169529754,4.918931634439221,42.442,32.373002,1.4477099999999998,5.1,303214886912,Consumer Defensive,True,64.35021650033087
KR,28.360553741455078,32.07839155410908,10120848.412698412,12.435101086195013,-4.794517521912836,59.6589662414193,-1.1023788237629641,7.997,3.101,3.57991,0.7000000000000001,41407447040,Consumer Defensive,True,34.98194963515054
LEN,70.28262329101562,68.43671647419404,3516667.3492063493,41.18094206461759,30.321351244103447,65.14494035934965,2.8258145836257325,8.405999999999999,7.8779995000000005,0.2753,-5.800000000000001,30194667520,Consumer Cyclical,True,72.66228061277434
LIN,244.30262756347656,39.11370673802506,2106488.492063492,26.32938205614332,19.197210550296155,67.48945245291668,5.856328650179904,17.979999,27.939999999999998,0.64673,3.1,206338949120,Basic Materials,True,63.55044316179509
LLY,158.48895263671875,42.7435207753484,3946586.111111111,28.854837130950138,2.939158780935814,65.11233024785417,12.141058958251918,96.47,48.294,1.7851599999999999,53.900000000000006,925784342528,Healthcare,True,56.43776520756546
LOW,146.4444580078125,50.946720907967816,5143131.746031746,35.650172527621166,19.172649326003626,51.43417717704648,0.2871818638190293,,11.92,,3.2,155422834688,Consumer Cyclical,True,62.351406517232796
LRCX,45.87199020385742,63.61087840563072,18946186.507936507,65.31082075987152,50.625339061698924,42.80011181794455,11.214770201044665,62.261003,34.354,0.43991,27.700000000000003,274236702720,Technology,True,75.81104595357661
MA,345.1053466796875,49.08801429529967,4706108.333333333,17.82419932110811,17.86237869466022,64.87436426859378,7.877218081996008,184.86099000000002,59.8,2.39715,16.7,490543939584,Financial Services,True,65.67583335001402
MAR,125.82536315917969,66.96212144772,4114673.8095238097,-13.530176020670318,48.59906024655891,50.0,10.339254512708626,,65.933996,,5.6000000000000005,88438243328,Consumer Cyclical,True,72.2493940053616
MCD,188.73291015625,40.17325349997896,3889830.5555555555,7.99251854429773,16.642589313087672,57.22902466976295,-1.4242182531183019,,46.905997,,3.0,220214755328,Consumer Cyclical,True,58.06980563653794
MCHP,61.849639892578125,61.43274224850216,5812878.571428572,28.907733663231728,31.597349662912666,38.43163321552479,6.978365814776574,-2.854,8.347999,0.80841,-2.0,40236265472,Technology,True,59.999842661036936
MCK,168.33432006835938,45.83828595863324,2229836.111111111,26.357043389698653,14.12387660174381,35.20821176595406,1.9027889175876205,,1.3739998999999998,,10.100000000000001,105001566208,Healthcare,True,46.89665836928921
MDLZ,51.14352035522461,34.149123492562325,6979584.523809524,9.197396751110851,13.882804138423118,55.9596883102381,2.2291834788540306,13.100999999999999,10.837,0.8362099999999999,5.8999999999999995,74143072256,Consumer Defensive,True,58.00315664712901
MDT,100.3060073852539,41.36311337147123,5563183.73015873,3.3339526779818107,25.45706014077541,66.35222796717238,4.715913328101348,9.822000000000001,20.299,0.59563,6.6000000000000005,126953340928,Healthcare,True,64.31020181439965
MET,39.7757453918457,60.320226719213075,6470909.523809524,-5.74942642316746,33.37649607640304,38.76804087558759,4.697422635877347,12.798001000000001,7.01,1.63999,-5.8999999999999995,51792228352,Financial Services,True,63.57791151958118
MMC,106.82247161865234,36.41131635431056,2124823.9166666665,4.439405842457667,7.466753961662863,46.29468016857782,1.5560506050676821,28.733999999999998,19.240999,1.39501,11.5,89819709440,Financial Services,True,46.92854556003839
MMM,121.08007049560547,37.47138236958206,3998323.8928571427,0.3294074301333643,12.846780673374338,44.79686382867155,2.439730109494448,72.920996,24.367,2.8190399999999998,3.5000000000000004,91095654400,Industrials,True,49.915377400170144
MO,27.59494972229004,36.42641598521236,9867857.53968254,-9.58525471762494,7.641483063637534,37.37073433634678,3.1254430884286784,,62.82600000000001,,-1.7000000000000002,103447691264,Consumer Defensive,True,42.52013800767823
MPC,36.47098159790039,83.72839084946595,8683054.365079366,-28.97320049548973,18.694137776662096,45.30289385974322,11.504019470359205,18.887,4.9689997,1.43175,-0.8,54012252160,Energy,True,64.29101832618151
MRK,65.61146545410156,31.914566266975164,10781255.099206349,-9.660113460789384,3.855320331913828,33.64680806534227,1.2243136591663788,39.485002,40.802,0.79708,3.6999999999999997,277154037760,Healthcare,True,43.86373872070996
MS,57.83462142944336,57.62530620542148,13641010.714285715,34.28146392225013,44.00287948788504,63.39765508815188,14.713179850493423,15.135000000000002,38.872,4.2055299999999995,19.1,305363058688,Financial Services,True,74.13508573751801
MSFT,212.71075439453125,44.02679017910572,37725931.746031746,39.47727035326634,8.017847624468724,68.54346005464257,3.225714076824493,32.241002,48.873,0.33154000000000006,18.4,3394429779968,Technology,True,59.33642506238396
MU,70.17211151123047,57.48502797329535,22688590.873015873,29.842926689475107,44.33073862490654,52.65908698048654,14.66214043544379,22.554001,44.974998,0.21244,56.699999999999996,378880196608,Technology,True,74.0958078325227
NEE,66.79896545410156,41.66028033187268,9269095.238095239,29.872393004773723,24.43287334271989,66.32656543252006,1.5511858345975886,8.236,30.768,1.44161,5.3,171128029184,Utilities,True,63.881315164284295
NEM,51.57126998901367,46.26573911871676,7904334.126984127,42.2084658386609,0.11057327712253558,53.59996918759277,-1.2320811310375896,22.875999,46.85,0.16914,20.0,125442949120,Basic Materials,True,56.00969359180196
